likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,time_since_publish,tag_count,like_dislike_ratio,comment_view_ratio,title_words_count,description_words_count,is_viral
1514,347,118,False,False,False,0,7,4.350574712643678,0.00027895321623602276,16,121,1
0,0,10,False,True,False,0,14,0.0,0.00029820480706148984,9,11,0
160,15,9,False,False,False,1,13,10.0,0.00011867871035801411,10,68,0
0,0,0,True,True,False,1,24,0.0,0.0,9,1,1
5406,534,1047,False,False,False,1,22,10.104672897196261,0.006708786139019889,17,196,1
52194,253,3122,False,False,False,2,21,205.48818897637796,0.002424342197221247,15,78,1
244,94,43,False,False,False,0,24,2.568421052631579,0.0007619925218408321,17,94,0
21956,1590,1661,False,False,False,2,35,13.80012570710245,0.00209252197400032,10,139,1
1560,200,108,False,False,False,2,33,7.7611940298507465,0.0003489600666901461,17,28,1
1307,230,744,False,False,False,2,12,5.658008658008658,0.0022223483411543668,13,12,1
0,0,7,False,True,False,0,18,0.0,0.0002924831822170225,14,103,0
247,20,10,False,False,False,0,28,11.761904761904763,0.00018227552768765266,9,13,0
20095,2517,2250,False,False,False,3,16,7.980540111199365,0.0019159469802120996,8,67,1
3676,381,2169,False,False,False,0,14,9.62303664921466,0.017009363383992848,20,143,1
2267,121,338,False,False,False,0,21,18.581967213114755,0.0013218202011669562,13,73,1
838,189,49,False,False,False,1,24,4.410526315789474,0.0005024455769408242,15,52,0
2523,618,194,False,False,False,2,7,4.075928917609047,0.0002802010514761107,12,47,1
2240,31,543,False,False,False,0,72,70.0,0.011467066500538508,11,176,0
1580,163,255,False,False,False,0,16,9.634146341463415,0.0022277162850428507,13,38,1
790,189,145,False,False,False,1,10,4.157894736842105,0.0013230530589899174,23,51,1
7191,91,746,False,False,False,1,25,78.16304347826087,0.007225881441301821,8,200,1
1311,508,740,False,False,False,1,24,2.5756385068762278,0.004906934028261287,13,39,1
1152,178,166,False,False,False,0,14,6.435754189944134,0.0009724207418515829,10,465,1
889,75,44,False,False,False,0,18,11.697368421052632,0.0005649064694629536,15,154,0
14281,490,1021,False,False,False,3,10,29.08553971486762,0.0013092143816109876,9,38,1
543,15,15,False,False,False,0,29,33.9375,9.708549348556339e-05,13,10,1
938,298,119,False,False,False,2,29,3.137123745819398,0.00027479252010141923,14,394,1
6019,234,280,False,False,False,3,18,25.612765957446808,0.00027291991165192576,16,32,1
120289,3108,3296,False,False,False,3,16,38.69057574782888,0.0022742954928100245,15,241,1
33,5,10,False,False,False,0,11,5.5,0.00010676574527828491,6,181,0
12397,449,385,False,False,False,4,19,27.54888888888889,0.0005527511212951318,15,113,1
663,71,14,False,False,False,0,17,9.208333333333334,0.00018694334281403144,20,21,0
28450,2285,3312,False,False,False,1,20,12.445319335083115,0.001050353209809005,13,250,1
1302,228,408,False,False,False,2,32,5.685589519650655,0.002508638817496526,15,83,1
13384,438,409,False,False,False,3,17,30.4874715261959,0.0007516959105169426,13,177,1
547,25,59,False,False,False,0,6,21.03846153846154,0.0011278267352283372,8,25,0
104,85,20,False,False,False,0,15,1.2093023255813953,0.00022019883955211555,12,51,0
0,0,0,True,True,False,0,1,0.0,0.0,12,11,0
2487,219,326,False,False,False,2,23,11.304545454545455,0.0009131141112542714,13,126,1
466,135,24,False,False,False,0,20,3.426470588235294,0.00020508788870563906,7,66,1
48,27,1,False,False,False,0,15,1.7142857142857142,3.0476654882360113e-05,8,23,0
9983,677,514,False,False,False,0,23,14.724188790560472,0.0019481134757149085,20,34,1
2057,244,896,False,False,False,2,33,8.395918367346939,0.004415380900520877,11,132,1
53866,1111,2232,False,False,False,4,8,48.44064748201439,0.0016496174173583802,9,28,1
